playerid,sport,position,start_year,start_age,years_played,retire_year,retire_age
rivertj01,mlb,G_if,2016,28,1,2017,29
Donta Smith,NBA,multi,2005,33,2,2006,34
cottsne01,mlb,G_p,2003,23,13,2015,35
Micheal Ferland\ferlami01,NHL,LW,2015,22,3,2017,24
mcbrima01,mlb,G_p,2005,23,3,2007,25
brockch01,mlb,G_p,1997,27,6,2002,32
bourgja01,mlb,G_if,2008,26,8,2015,33
whiteal01,mlb,G_p,2011,23,2,2012,24
Matt Jones\jonesma01,NHL,D,2006,22,3,2009,24
duensbr01,mlb,G_p,2009,26,10,2018,35
pennywi01,mlb,G_of,1992,24,2,1994,26
Scott Timmins\timmisc01,NHL,C,2011,21,3,2013,23
Brant Boyer,NFL,LB,1981,10,9,1989,18
huffmch01,mlb,G_of,2010,25,8,2017,32
Connor Carrick\carrico01,NHL,D,2014,19,4,2017,22
Brendan Ranford\ranfobr01,NHL,LW,2015,22,1,2015,22
Larry Sanders,NBA,multi,2011,53,7,2017,59
Bam Adebayo,NBA,multi,2018,21,1,2018,21
naultda01,mlb,G_p,1996,26,4,1999,29
johnsal02,mlb,G_p,2011,28,0,2011,28
Barrett Ruud,NFL,LB,2005,22,8,2012,29
whitema01,mlb,G_of,1990,24,10,2000,34
headje01,mlb,G_of,2011,29,1,2011,29
cormila01,mlb,G_p,2004,24,7,2011,31
George Parros\parroge01,NHL,RW,2006,26,9,2014,34
Omer Asik,NBA,C,2011,45,8,2018,52
lewisro01,mlb,G_p,2010,28,2,2011,29
larueja01,mlb,G_c,1999,25,12,2010,36
Travis Green\greentr01,NHL,C,2006,35,2,2009,36
Rodney Williams,NFL,WR,2012,39,2,2013,40
lindeto01,mlb,G_of,2003,23,5,2007,27
mcdonja03,mlb,G_p,2008,24,5,2013,29
Metta World Peace,NBA,F,2000,38,18,2017,55
Antoine Walker,NBA,F,1997,44,12,2008,55
peterch01,mlb,G_p,1996,24,5,2001,29
Damien Inglis,NBA,F,2016,41,1,2016,41
Fred Foster,NBA,F,1969,29,9,1977,37
moyaga01,mlb,G_p,2017,22,2,2018,23
eversbr01,mlb,G_p,1994,25,5,1998,29
knottjo02,mlb,G_of,2004,26,4,2007,29
sherrti01,mlb,G_p,1990,25,1,1991,26
Luke Babbitt,NBA,F,2011,43,8,2018,50
Pat Durham,NBA,F,1993,27,3,1995,29
Joel Eriksson Ek\eriksjo02,NHL,LW,2017,20,1,2017,20
Jalen Rose,NBA,multi,1995,45,13,2007,57
Robert Archibald,NBA,F,2003,55,2,2004,56
hinshal01,mlb,G_p,2008,26,5,2012,30
Josh Martin,NFL,LB,2010,19,4,2013,22
Willie Jackson,NFL,WR,1994,23,1,1994,23
weilaky01,mlb,G_p,2011,25,1,2012,26
Rene Bourque\bourqre01,NHL,LW,2006,24,12,2017,35
saccoma01,mlb,G_if,2008,28,1,2008,28
cedenro02,mlb,G_if,2005,22,10,2014,31
Kurt Rambis,NBA,F,1982,22,14,1995,35
Mike Holton,NBA,G,1985,44,6,1990,49
Kevin Restani,NBA,multi,1975,27,8,1982,34
sandoda01,mlb,G_if,2005,26,2,2006,27
rhodeka01,mlb,G_of,1990,22,5,1995,27
pauljo01,mlb,G_c,1999,24,9,2007,32
ilslebl01,mlb,G_p,1994,30,1,1994,30
gonzadi01,mlb,G_p,2001,23,4,2004,26
jonesch06,mlb,G_if,1993,21,20,2012,40
encarju01,mlb,G_of,1997,21,10,2007,31
dewitma01,mlb,G_p,2000,23,2,2002,25
bautida01,mlb,G_of,1993,21,12,2004,32
Arnold Ale,NFL,LB,1994,24,3,1996,26
Pearl Washington,NBA,G,1987,35,3,1989,37
oleartr01,mlb,G_of,1993,24,11,2003,34
Fred Hetzel,NBA,multi,1966,14,6,1971,19
Erik Westrum\westrer01,NHL,C,2006,26,2,2009,27
Derek Harper,NBA,G,1984,10,16,1999,25
segovza01,mlb,G_p,2007,24,3,2009,26
nelsobr02,mlb,G_if,2008,26,1,2009,27
garatvi01,mlb,G_p,2009,25,1,2009,25
Boris Nachamkin,NBA,F,1955,21,1,1955,21
Tim Hall,NFL,RB,1996,22,4,1999,25
Dwaine Dillard,NBA,F,1976,33,1,1976,33
belnovi01,mlb,G_p,2014,26,1,2014,26
gonzaal02,mlb,G_if,1998,21,16,2014,37
Dou Innocent,NFL,RB,1996,24,1,1996,24
morrima01,mlb,G_p,1997,23,12,2008,34
Yan Stastny\stastya01,NHL,C,2006,23,5,2010,27
rossejo01,mlb,G_p,1995,23,1,1995,23
Deon Humphrey,NFL,LB,2009,33,5,2013,37
planter01,mlb,G_p,1993,25,4,1997,29
romanmi01,mlb,G_p,1999,27,1,1999,27
sparkje01,mlb,G_p,1999,27,1,2000,28
Jeff Garcia,NFL,QB,1987,17,2,1988,18
trammbu01,mlb,G_of,1997,26,7,2003,32
howarth01,mlb,G_of,1990,26,11,2000,36
hairssc01,mlb,G_if,2004,24,11,2014,34
Cade Fairchild\faircca01,NHL,D,2012,23,1,2012,23
Tim Gleason\gleasti01,NHL,D,2006,23,10,2015,32
gervasa01,mlb,G_p,2009,24,1,2010,25
Pierre Turgeon\turgepi01,NHL,C,2006,36,2,2009,37
Jamie Rivers\riverja01,NHL,D,2006,30,2,2009,31
whitlch01,mlb,G_p,2014,25,4,2018,29
munrope01,mlb,G_p,1999,24,6,2004,29
Johnny Egan,NBA,G,1962,44,11,1972,54
chench01,mlb,G_of,2002,25,3,2005,28
smithch07,mlb,G_p,2008,27,10,2017,36
Odie Spears,NBA,G,1949,13,9,1957,21
Ryan Whitney\whitnry01,NHL,D,2006,22,9,2014,30
valenje01,mlb,G_if,2018,24,1,2018,24
santose01,mlb,G_p,2010,27,6,2015,32
cloydty01,mlb,G_p,2012,25,6,2018,31
Carlos Francis,NFL,WR,2013,32,1,2013,32
Darington Hobson,NBA,G,2012,33,1,2012,33
freelry01,mlb,G_if,2001,25,9,2009,33
stouter01,mlb,G_p,2018,25,1,2018,25
Luke Adam\adamlu01,NHL,C,2011,20,5,2015,24
A.J. Greer\greeraj01,NHL,LW,2017,20,1,2017,20
Ben Coleman,NBA,F,1987,26,8,1994,33
Brendan Shinnimin\shinnbr01,NHL,C,2015,24,1,2015,24
alcanis01,mlb,G_of,2000,27,3,2002,29
deagoro01,mlb,G_p,2003,26,1,2003,26
batesja01,mlb,G_if,1995,24,4,1998,27
shumpte01,mlb,G_if,1990,24,14,2003,37
James Wright\wrighja02,NHL,C,2010,19,5,2014,23
omogrbr01,mlb,G_p,2012,28,1,2013,29
Gregory Campbell\campbgr01,NHL,C,2006,22,11,2016,32
fullmbr01,mlb,G_if,1997,22,7,2004,29
daltomi01,mlb,G_p,1991,28,1,1991,28
Sean LaChapelle,NFL,WR,2006,36,1,2006,36
Graham Mink\minkgr01,NHL,C,2006,26,4,2009,29
hemphbr01,mlb,G_c,1999,28,1,1999,28
John Johnson,NBA,F,1971,15,12,1982,26
maynebr01,mlb,G_c,1990,22,15,2004,36
jonesst02,mlb,G_p,1991,24,6,1996,29
saunddo01,mlb,G_if,1993,24,1,1993,24
Morgan Ellis\ellismo01,NHL,D,2016,23,1,2016,23
hernami01,mlb,G_c,2003,25,6,2009,31
Jaycob Megna\megnaja02,NHL,D,2017,24,1,2017,24
bowerbr01,mlb,G_of,1996,25,1,1996,25
Bernard Thompson,NBA,multi,1985,44,5,1989,48
chrisju01,mlb,G_of,2008,28,5,2012,32
Dan Renouf\renouda01,NHL,D,2017,22,1,2017,22
barnesc01,mlb,G_p,2012,25,2,2013,26
Francois Beauchemin\beaucfr01,NHL,D,2006,25,12,2017,36
Alex Friesen\friesal01,NHL,C,2016,25,1,2016,25
robintr01,mlb,G_of,2011,24,2,2012,25
mieskma01,mlb,G_of,1993,25,8,2000,32
brunswi01,mlb,G_p,1998,28,2,1999,29
Chris Durno\durnoch01,NHL,LW,2009,28,2,2010,29
natalro01,mlb,G_c,1992,27,6,1997,32
Jamie Sharper,NFL,LB,2003,29,3,2005,31
lopezar02,mlb,G_p,2009,26,1,2009,26
Eriah Hayes\hayeser01,NHL,RW,2014,25,2,2015,26
downsma01,mlb,G_if,2009,25,4,2012,28
perezju01,mlb,G_p,2006,28,7,2013,35
herrero01,mlb,G_p,2017,22,1,2017,22
parrama01,mlb,G_p,2007,25,9,2015,33
bonined01,mlb,G_p,2008,27,3,2010,29
Arinze Onuaku,NBA,C,2014,34,4,2017,37
motajo01,mlb,G_if,1991,26,5,1995,30
duncash01,mlb,G_of,2007,28,6,2013,34
Brett Ritchie\ritchbr01,NHL,RW,2015,21,3,2017,23
Ricky Whittle,NFL,RB,1994,23,9,2002,31
Jonathan Hedstrom\hedstjo01,NHL,RW,2006,28,1,2006,28
Robert Holcombe,NFL,RB,2011,36,2,2012,37
seguida01,mlb,G_if,1990,24,15,2004,38
murphto03,mlb,G_of,2006,27,2,2007,28
Kris Joseph,NBA,F,2013,21,1,2013,21
